"Line","Chapter","Subsection","Problem","Start"
"42","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","1","Describe geometrically (line, plane, or all of $R^3$) all linear combinations of"
"50","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","2","Draw $\boldsymbol{v}=\begin{bmatrix} 4 \\ 1 \end{bmatrix}$ and $\boldsymbol{w}=\begin{bmatrix} -2\\ 2 \end{bmatrix} $ and $\boldsymbol{v}+\boldsymbol{w}$ and $\boldsymbol{v}-\bolds..."
"51","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","3","If $\boldsymbol{v} + \boldsymbol{w} = \begin{bmatrix} 5 \\ 1 \end{bmatrix}$ and $\boldsymbol{v} - \boldsymbol{w} = \begin{bmatrix} 1 \\ 5 \end{bmatrix}$, compute and draw the vecto..."
"52","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","4","From $\boldsymbol{v} = \begin{bmatrix} 2 \\ 1 \end{bmatrix}$ and $\boldsymbol{w} = \begin{bmatrix} 1 \\ 2 \end{bmatrix}$, find the components of $3\boldsymbol{v} + \boldsymbol{w}$ ..."
"53","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","5","Compute $\boldsymbol{u} + \boldsymbol{v} + \boldsymbol{w}$ and $2\boldsymbol{u} + 2\boldsymbol{v} + \boldsymbol{w}$. How do you know $\boldsymbol{u}, \boldsymbol{v}, \boldsymbol{w}..."
"62","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","6","Every combination of $\boldsymbol{v} = (1, -2, 1)$ and $\boldsymbol{w} = (0, 1, -1)$ has components that add to \underline{\hspace{1cm}}."
"65","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","7","In the $xy$ plane mark all nine of these linear combinations:"
"70","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","8","The parallelogram in Figure 1.1 has diagonal $\boldsymbol{v} + \boldsymbol{w}$. What is its other diagonal? What is the sum of the two diagonals? Draw that vector sum."
"72","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","9","If three corners of a parallelogram are $(1,1), (4,2)$, and $(1,3)$, what are all three of the possible fourth corners? Draw two of them."
"84","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","10","Which point of the cube is $\boldsymbol{i} + \boldsymbol{j}$? Which point is the vector sum of $\boldsymbol{i} = (1,0,0)$ and $\boldsymbol{j} = (0,1,0)$ and $\boldsymbol{k} = (0,0,..."
"86","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","11","Four corners of this unit cube are $(0,0,0), (1,0,0), (0,1,0), (0,0,1)$. What are the other four corners? Find the coordinates of the center point of the cube. The center points of..."
"88","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","12","Review Question. In $xyz$ space, where is the plane of all linear combinations of $\boldsymbol{i} = (1,0,0)$ and $\boldsymbol{i} + \boldsymbol{j} = (1,1,0)$?"
"90","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","13",""
"96","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","14","Suppose the twelve vectors start from 6:00 at the bottom instead of $(0,0)$ at the center. The vector to 12:00 is doubled to $(0,2)$. The new twelve vectors add to \underline{\hspa..."
"111","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","15","Figure 1.5a shows $\frac{1}{2}\,\boldsymbol{v} + \frac{1}{2}\,\boldsymbol{w}$. Mark the points $\frac{3}{4}\,\boldsymbol{v} + \frac{1}{4}\,\boldsymbol{w}$ and $\frac{1}{4}\,\boldsy..."
"113","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","16","Mark the point $-\boldsymbol{v} + 2\boldsymbol{w}$ and any other combination $c\boldsymbol{v} + d\boldsymbol{w}$ with $c + d = 1$. Draw the line of all combinations that have $c + ..."
"115","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","17","Locate $\frac{1}{3}\,\boldsymbol{v} + \frac{1}{3}\,\boldsymbol{w}$ and $\frac{2}{3}\,\boldsymbol{v} + \frac{2}{3}\,\boldsymbol{w}$. The combinations $c\boldsymbol{v} + c\boldsymbol..."
"117","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","18","Restricted by $0 \le c \le 1$ and $0 \le d \le 1$, shade in all combinations $c\boldsymbol{v} + d\boldsymbol{w}$."
"119","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","19","Restricted only by $c \ge 0$ and $d \ge 0$ draw the ``cone'' of all combinations $c\boldsymbol{v} + d\boldsymbol{w}$."
"133","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","20","Locate $\frac{1}{2}\,\boldsymbol{v} + \frac{1}{2}\,\boldsymbol{w} + \frac{1}{2}\,\boldsymbol{v}$ and $\frac{1}{2}\,\boldsymbol{v} + \frac{1}{2}\,\boldsymbol{w} + \frac{1}{2}\,\bold..."
"135","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","21","The three sides of the dashed triangle are $\boldsymbol{v} - \boldsymbol{u}$ and $\boldsymbol{w} - \boldsymbol{v}$ and $\boldsymbol{u} - \boldsymbol{w}$. Their sum is \underline{\h..."
"137","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","22","Shade in the pyramid of combinations $c\boldsymbol{u} + d\boldsymbol{v} + e\boldsymbol{w}$ with $c \ge 0$, $d \ge 0$, $e \ge 0$ and $c + d + e \le 1$. Mark the vector $\frac{1}{2}(..."
"139","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","23","If you look at all combinations of those $\boldsymbol{u}, \boldsymbol{v},$ and $\boldsymbol{w}$, is there any vector that can't be produced from $c\boldsymbol{u} + d\boldsymbol{v} ..."
"141","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","24","Which vectors are combinations of $\boldsymbol{u}$ and $\boldsymbol{v}$, and also combinations of $\boldsymbol{v}$ and $\boldsymbol{w}$?"
"143","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","25","Draw vectors $\boldsymbol{u}, \boldsymbol{v}, \boldsymbol{w}$ so that their combinations $c\boldsymbol{u} + d\boldsymbol{v} + e\boldsymbol{w}$ fill only a line. Find vectors $\bold..."
"145","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","26","What combination $c\begin{bmatrix} 2 \\ 1 \end{bmatrix} + d\begin{bmatrix} 3 \\ 1 \end{bmatrix}$ produces $\begin{bmatrix} 14 \\ 8 \end{bmatrix}$? Express this question as two equa..."
"150","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","27","How many corners does a cube have in 4 dimensions? How many 3D faces? How many edges? A typical corner is $(0,0,1,0)$. A typical edge goes to $(0,1,0,0)$."
"152","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","28","Find vectors $\boldsymbol{v}$ and $\boldsymbol{w}$ so that $\boldsymbol{v} + \boldsymbol{w} = (4,5,6)$ and $\boldsymbol{v} - \boldsymbol{w} = (2,5,8)$. This is a question with \und..."
"154","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","29","Find two different combinations of the three vectors $\boldsymbol{u} = (1,3)$ and $\boldsymbol{v} = (2,7)$ and $\boldsymbol{w} = (1,5)$ that produce $\boldsymbol{b} = (0,1)$. Sligh..."
"156","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","30","The linear combinations of $\boldsymbol{v} = (a,b)$ and $\boldsymbol{w} = (c,d)$ fill the plane unless \underline{\hspace{2cm}}. \\Find four vectors $\boldsymbol{u}, \boldsymbol{v}..."
"158","Chapter 1: Introduction to Vectors","Vectors and Linear Combinations","31","Write down three equations for $c, d, e$ so that $c\boldsymbol{u} + d\boldsymbol{v} + e\boldsymbol{w} = \boldsymbol{b}$. Can you somehow find $c, d, e$ for $\boldsymbol{b}$?"
"169","Chapter 1: Introduction to Vectors","Lengths and Dot Products","1","Calculate the dot products $\boldsymbol{u} \cdot \boldsymbol{v}$ and $\boldsymbol{u} \cdot \boldsymbol{w}$ and $\boldsymbol{u} \cdot (\boldsymbol{v} + \boldsymbol{w})$ and $\boldsy..."
"176","Chapter 1: Introduction to Vectors","Lengths and Dot Products","2","Compute the lengths $\|\boldsymbol{u}\|$ and $\|\boldsymbol{v}\|$ and $\|\boldsymbol{w}\|$ of those vectors. Check the Schwarz inequalities $|\boldsymbol{u} \cdot \boldsymbol{v}| \..."
"178","Chapter 1: Introduction to Vectors","Lengths and Dot Products","3","Find unit vectors in the directions of $\boldsymbol{v}$ and $\boldsymbol{w}$ in Problem 1, and the cosine of the angle $\theta$. Choose vectors $\boldsymbol{a}, \boldsymbol{b}, \bo..."
"180","Chapter 1: Introduction to Vectors","Lengths and Dot Products","4","For any \emph{unit} vectors $\boldsymbol{v}$ and $\boldsymbol{w}$, find the dot products (actual numbers) of"
"189","Chapter 1: Introduction to Vectors","Lengths and Dot Products","5","Find unit vectors $\boldsymbol{u}_1$ and $\boldsymbol{u}_2$ in the directions of $\boldsymbol{v} = (1,3)$ and $\boldsymbol{w} = (2,1,2)$. Find unit vectors $\boldsymbol{U}_1$ and $..."
"191","Chapter 1: Introduction to Vectors","Lengths and Dot Products","6",""
"198","Chapter 1: Introduction to Vectors","Lengths and Dot Products","7","Find the angle $\theta$ (from its cosine) between these pairs of vectors:"
"210","Chapter 1: Introduction to Vectors","Lengths and Dot Products","8","True or false (give a reason if true or find a counterexample if false):"
"217","Chapter 1: Introduction to Vectors","Lengths and Dot Products","9","The slopes of the arrows from $(0,0)$ to $(v_1,v_2)$ and $(w_1,w_2)$ are $v_2/v_1$ and $w_2/w_1$. Suppose the product $v_2 w_2 / v_1 w_1$ of those slopes is $-1$. Show that $\bolds..."
"219","Chapter 1: Introduction to Vectors","Lengths and Dot Products","10","Draw arrows from $(0,0)$ to the points $\boldsymbol{v} = (1,2)$ and $\boldsymbol{w} = (-2,1)$. Multiply their slopes. That answer is a signal that $\boldsymbol{v} \cdot \boldsymbol..."
"221","Chapter 1: Introduction to Vectors","Lengths and Dot Products","11","If $\boldsymbol{v} \cdot \boldsymbol{w}$ is negative, what does this say about the angle between $\boldsymbol{v}$ and $\boldsymbol{w}$? Draw a 3-dimensional vector $\boldsymbol{v}$..."
"223","Chapter 1: Introduction to Vectors","Lengths and Dot Products","12","With $\boldsymbol{v} = (1,1)$ and $\boldsymbol{w} = (1,5)$ choose a number $c$ so that $\boldsymbol{w} - c\boldsymbol{v}$ is perpendicular to $\boldsymbol{v}$. Then find the formul..."
"225","Chapter 1: Introduction to Vectors","Lengths and Dot Products","13","Find nonzero vectors $\boldsymbol{v}$ and $\boldsymbol{w}$ that are perpendicular to $(1,0,1)$ and to each other."
"227","Chapter 1: Introduction to Vectors","Lengths and Dot Products","14","Find nonzero vectors $\boldsymbol{u}, \boldsymbol{v}, \boldsymbol{w}$ that are perpendicular to $(1,1,1)$ and to each other."
"229","Chapter 1: Introduction to Vectors","Lengths and Dot Products","15","The geometric mean of $x = 2$ and $y = 8$ is $\sqrt{xy} = 4$. The arithmetic mean is larger: $\frac{1}{2}(x + y) = \underline{\hspace{2cm}}$. This would come in Example 6 from the ..."
"231","Chapter 1: Introduction to Vectors","Lengths and Dot Products","16","How long is the vector $\boldsymbol{v} = (1,1,\dots,1)$ in 9 dimensions? Find a unit vector $\boldsymbol{u}$ in the same direction as $\boldsymbol{v}$ and a unit vector $\boldsymbo..."
"233","Chapter 1: Introduction to Vectors","Lengths and Dot Products","17","What are the cosines of the angles $\alpha, \beta, \theta$ between the vector $(1,0,-1)$ and the unit vectors $\boldsymbol{i}, \boldsymbol{j}, \boldsymbol{k}$ along the axes? Check..."
"238","Chapter 1: Introduction to Vectors","Lengths and Dot Products","18","The parallelogram with sides $\boldsymbol{v} = (4,2)$ and $\boldsymbol{w} = (-1,2)$ is a rectangle. Check the Pythagoras formula $a^2 + b^2 = c^2$ which is for \emph{right triangle..."
"243","Chapter 1: Introduction to Vectors","Lengths and Dot Products","19","(Rules for dot products) These equations are simple but useful:"
"254","Chapter 1: Introduction to Vectors","Lengths and Dot Products","20","The ``Law of Cosines'' comes from $(\boldsymbol{v} - \boldsymbol{w}) \cdot (\boldsymbol{v} - \boldsymbol{w}) = \boldsymbol{v} \cdot \boldsymbol{v} - 2\boldsymbol{v} \cdot \boldsymb..."
"260","Chapter 1: Introduction to Vectors","Lengths and Dot Products","21","The \textbf{triangle inequality} says: (length of $\boldsymbol{v} + \boldsymbol{w}$) $\le$ (length of $\boldsymbol{v}$) + (length of $\boldsymbol{w}$)."
"280","Chapter 1: Introduction to Vectors","Lengths and Dot Products","22","The Schwarz inequality $|\boldsymbol{v} \cdot \boldsymbol{w}| \le \|\boldsymbol{v}\| \, \|\boldsymbol{w}\|$ by algebra instead of trigonometry:"
